freq,indic_et,sitc06,partner,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,IVOL_EXP,TOTAL,WORLD,AT	97.7 	99.1 	98.9 	97.1 	101.1 	102.4 	102.3 	93.9 	100.0 	98.4 	97.1 	92.4 
A,IVOL_EXP,TOTAL,WORLD,BE	92.6 	93.5 	93.4 	95.9 	96.1 	96.4 	95.2 	88.1 	100.0 	100.5 	94.2 	92.1 
A,IVOL_EXP,TOTAL,WORLD,BG	80.7 	81.5 	84.8 	91.2 	99.5 	99.6 	101.8 	95.1 	100.0 	110.6 	107.7 	109.9 
A,IVOL_EXP,TOTAL,WORLD,CY	29.3 	47.7 	67.9 	71.6 	73.9 	100.7 	88.1 	86.8 	100.0 	111.6 	133.8 	165.7 
A,IVOL_EXP,TOTAL,WORLD,CZ	89.1 	94.0 	96.4 	99.5 	102.8 	103.5 	103.0 	95.2 	100.0 	105.3 	102.3 	102.2 
A,IVOL_EXP,TOTAL,WORLD,DE	106.7 	107.8 	109.4 	108.7 	110.4 	110.3 	106.2 	94.7 	100.0 	99.4 	96.2 	94.0 
A,IVOL_EXP,TOTAL,WORLD,DK	94.5 	96.3 	95.2 	96.8 	98.8 	99.7 	98.7 	94.6 	100.0 	99.6 	99.7 	103.8 
A,IVOL_EXP,TOTAL,WORLD,EE	82.6 	81.4 	79.1 	81.7 	84.8 	90.7 	89.7 	89.7 	100.0 	97.2 	84.6 	80.9 
A,IVOL_EXP,TOTAL,WORLD,EL	71.5 	73.4 	77.0 	81.6 	83.6 	90.2 	91.3 	92.9 	100.0 	102.2 	103.1 	102.8 
A,IVOL_EXP,TOTAL,WORLD,ES	94.2 	97.5 	100.2 	102.6 	104.2 	104.2 	103.5 	92.4 	100.0 	101.6 	97.9 	97.4 
A,IVOL_EXP,TOTAL,WORLD,EU27_2020	103.5 	103.2 	102.8 	102.7 	105.9 	106.8 	105.4 	94.8 	100.0 	98.9 	96.6 	95.3 
A,IVOL_EXP,TOTAL,WORLD,FI	94.0 	94.9 	92.0 	92.0 	99.1 	100.9 	103.0 	95.9 	100.0 	97.5 	93.7 	90.0 
A,IVOL_EXP,TOTAL,WORLD,FR	116.0 	116.2 	116.3 	115.6 	116.2 	116.7 	115.6 	94.2 	100.0 	100.6 	99.5 	95.8 
A,IVOL_EXP,TOTAL,WORLD,HR	58.0 	64.6 	73.3 	79.2 	86.2 	87.8 	89.8 	92.3 	100.0 	101.9 	106.9 	113.0 
A,IVOL_EXP,TOTAL,WORLD,HU	83.9 	86.5 	90.4 	93.7 	97.0 	99.0 	101.3 	96.1 	100.0 	102.2 	100.7 	100.5 
A,IVOL_EXP,TOTAL,WORLD,IE	54.7 	57.4 	65.1 	69.4 	72.3 	85.1 	91.3 	97.8 	100.0 	114.9 	112.3 	121.8 
A,IVOL_EXP,TOTAL,WORLD,IT	102.1 	102.1 	102.9 	103.8 	107.5 	106.1 	103.5 	91.5 	100.0 	101.5 	97.4 	94.4 
A,IVOL_EXP,TOTAL,WORLD,LT	82.2 	83.5 	81.6 	83.3 	90.9 	90.3 	94.1 	94.0 	100.0 	97.8 	93.2 	88.8 
A,IVOL_EXP,TOTAL,WORLD,LU	109.2 	120.8 	126.0 	121.7 	114.6 	111.2 	114.6 	95.5 	100.0 	96.0 	92.4 	89.0 
A,IVOL_EXP,TOTAL,WORLD,LV	76.5 	78.7 	79.6 	81.5 	87.2 	90.9 	92.6 	95.2 	100.0 	100.3 	97.1 	89.6 
A,IVOL_EXP,TOTAL,WORLD,MT	114.4 	99.2 	106.8 	130.9 	111.0 	104.2 	111.2 	95.9 	100.0 	108.2 	114.2 	132.0 
A,IVOL_EXP,TOTAL,WORLD,NL	85.0 	84.0 	85.0 	87.4 	92.6 	94.5 	95.3 	91.8 	100.0 	108.5 	102.2 	98.6 
A,IVOL_EXP,TOTAL,WORLD,PL	68.7 	73.7 	77.9 	80.6 	85.8 	90.0 	92.6 	91.2 	100.0 	100.7 	99.0 	97.3 
A,IVOL_EXP,TOTAL,WORLD,PT	89.5 	90.6 	92.8 	94.3 	98.7 	100.0 	101.9 	92.6 	100.0 	103.0 	101.3 	103.0 
A,IVOL_EXP,TOTAL,WORLD,RO	85.2 	91.0 	93.1 	98.4 	104.0 	105.0 	104.1 	93.2 	100.0 	107.8 	108.7 	109.0 
A,IVOL_EXP,TOTAL,WORLD,SE	96.1 	95.3 	96.3 	96.9 	99.9 	101.1 	99.2 	95.2 	100.0 	100.5 	99.6 	97.8 
A,IVOL_EXP,TOTAL,WORLD,SI	65.1 	69.7 	73.8 	77.1 	83.8 	89.3 	93.3 	90.6 	100.0 	105.1 	104.3 	108.9 
