freq,indic_et,sitc06,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,MIO_BAL_VAL,TOTAL,CA	-3905.4 	9099.1 	-9623.6 	-12137.2 	-11481.5 	-8088.6 	-7269.7 	-14911.2 	8397.3 	26750.6 	8152.5 	8368.0 
A,MIO_BAL_VAL,TOTAL,EU27_2020	149369.3 	171399.4 	228216.3 	264401.8 	222204.8 	148055.9 	191678.9 	216957.8 	57392.5 	-435505.1 	34192.0 	142103.6 
A,MIO_BAL_VAL,TOTAL,IN	-97458.2 	-106755.6 	-113892.5 	-87070.1 	-132502.3 	-156751.6 	-139020.1 	-80976.7 	-148464.0 	-265794.7 	-222628.5 	-243264.6 
A,MIO_BAL_VAL,TOTAL,JP	-88900.5 	-91808.3 	-626.3 	34337.7 	23201.3 	-8747.0 	-13761.8 	5148.2 	-12860.4 	-144280.9 	-31262.3 	-32595.6 
A,MIO_BAL_VAL,TOTAL,KR	33164.4 	35768.0 	81357.4 	80617.7 	84233.2 	58953.4 	34755.6 	39247.5 	24774.1 	-45404.1 	-9937.6 	47487.0 
A,MIO_BAL_VAL,TOTAL,MX	-949.4 	-2328.8 	-13247.2 	-11865.4 	-9735.6 	-11524.7 	4794.9 	29769.1 	-9516.2 	-25530.8 	-3754.9 	-6367.3 
A,MIO_BAL_VAL,TOTAL,RU	159868.1 	158964.8 	145223.7 	85229.0 	105550.1 	178890.0 	160392.1 	92312.9 	168104.1 	: 	: 	: 
A,MIO_BAL_VAL,TOTAL,SG	24007.9 	28212.7 	44902.7 	41714.3 	40333.7 	34919.4 	28009.9 	39449.5 	42921.2 	37562.4 	48949.2 	43658.9 
A,MIO_BAL_VAL,TOTAL,UK	-82208.2 	-137899.0 	-147774.1 	-203184.2 	-176206.4 	-153136.2 	-200242.7 	-208792.5 	-184060.8 	-272076.1 	-250115.6 	-277642.6 
A,MIO_BAL_VAL,TOTAL,US	-563965.8 	-595493.1 	-731481.5 	-719361.3 	-760792.3 	-801125.8 	-824668.1 	-853727.8 	-997581.3 	-1244836.0 	-1063468.5 	-1194576.8 
A,MIO_EXP_VAL,TOTAL,CA	343798.1 	357679.5 	368361.7 	351299.3 	371846.0 	381365.3 	397957.2 	339847.1 	424134.2 	569745.3 	524687.4 	507781.1 
A,MIO_EXP_VAL,TOTAL,EU27_2020	1780131.8 	1796783.7 	1876310.9 	1866819.6 	1994149.0 	2058469.7 	2132048.1 	1932076.3 	2180663.8 	2570215.0 	2556629.1 	2591730.2 
