"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2025","349.50","349.50","349.50","349.50","","0.00%"
"10/28/2025","349.50","349.50","349.50","349.50","","-0.14%"
"10/27/2025","350.00","350.00","350.00","350.00","","0.14%"
"10/24/2025","349.50","349.50","349.50","349.50","","-0.43%"
"10/23/2025","351.00","351.00","351.00","351.00","0.10K","0.86%"
"10/22/2025","348.00","348.00","348.00","348.00","0.10K","-0.71%"
"10/21/2025","350.50","350.50","350.50","350.50","0.10K","0.57%"
"10/20/2025","348.50","348.50","348.50","348.50","0.10K","0.00%"
"10/17/2025","348.50","348.50","348.50","348.50","0.10K","-0.57%"
"10/16/2025","350.50","350.50","350.50","350.50","0.10K","0.14%"
"10/15/2025","350.00","350.00","350.00","350.00","0.10K","0.00%"
"10/14/2025","350.00","350.00","350.00","350.00","0.00K","0.00%"
"10/13/2025","350.00","350.00","350.00","350.00","0.00K","0.29%"
"10/10/2025","349.00","349.00","349.00","349.00","0.00K","-0.29%"
"10/09/2025","350.00","350.00","350.00","350.00","0.00K","0.43%"
"10/08/2025","348.50","348.50","348.50","348.50","0.00K","-0.57%"
"10/07/2025","350.50","350.50","350.50","350.50","0.00K","0.43%"
"10/06/2025","349.00","350.50","350.50","349.00","0.00K","1.31%"
"10/03/2025","344.50","344.50","344.50","344.50","0.05K","-0.72%"
"10/02/2025","347.00","347.00","347.00","347.00","0.05K","0.43%"
"10/01/2025","345.50","347.00","347.00","345.50","0.06K","0.58%"
"09/30/2025","343.50","343.50","343.50","343.50","0.00K","1.48%"
"09/29/2025","338.50","338.50","338.50","338.50","0.00K","0.00%"
"09/26/2025","338.50","338.50","338.50","338.50","0.00K","-0.44%"
"09/25/2025","340.00","341.00","341.00","340.00","0.00K","0.29%"
"09/24/2025","339.00","339.00","339.00","339.00","0.01K","0.30%"
"09/23/2025","338.00","338.00","338.00","338.00","0.01K","-0.15%"
"09/22/2025","338.50","338.50","338.50","338.50","0.01K","0.00%"
"09/19/2025","338.50","338.50","338.50","338.50","0.01K","0.15%"
"09/18/2025","338.00","338.00","338.00","338.00","0.01K","-0.15%"
"09/17/2025","338.50","338.50","338.50","338.50","0.01K","0.15%"
"09/16/2025","338.00","339.00","339.00","338.00","0.01K","0.30%"
"09/15/2025","337.00","338.00","338.00","337.00","0.03K","-0.88%"
"09/12/2025","340.00","340.00","340.00","340.00","","0.74%"
"09/11/2025","337.50","341.00","341.00","337.50","0.06K","-1.03%"
"09/10/2025","341.00","341.00","341.00","341.00","0.16K","-0.29%"
"09/09/2025","342.00","342.50","342.50","342.00","0.12K","-0.44%"
"09/08/2025","343.50","343.50","343.50","343.50","0.00K","0.15%"
"09/05/2025","343.00","343.00","343.00","343.00","0.00K","-0.44%"
"09/04/2025","344.50","344.50","344.50","344.50","0.00K","0.29%"
"09/03/2025","343.50","343.50","343.50","343.50","","-0.43%"
"09/02/2025","345.00","344.00","345.00","344.00","0.01K","1.02%"
"09/01/2025","341.50","341.00","341.50","341.00","0.01K","0.15%"
"08/29/2025","341.00","343.00","343.00","340.00","0.05K","-0.87%"
"08/28/2025","344.00","344.00","344.00","344.00","0.20K","-0.29%"
"08/27/2025","345.00","345.00","345.00","345.00","","-0.43%"
"08/26/2025","346.50","346.50","346.50","346.50","0.20K","0.00%"
"08/22/2025","346.50","346.50","346.50","346.50","0.20K","-0.29%"
"08/21/2025","347.50","347.50","347.50","347.50","","0.00%"
"08/20/2025","347.50","347.50","347.50","347.50","","0.14%"
"08/19/2025","347.00","347.00","347.00","347.00","","0.00%"
"08/18/2025","347.00","347.00","347.00","347.00","","-0.14%"
"08/15/2025","347.50","347.50","347.50","347.50","0.20K","0.00%"
"08/14/2025","347.50","347.50","347.50","347.50","0.04K","-0.71%"
"08/13/2025","350.00","350.00","350.00","350.00","0.04K","-0.57%"
"08/12/2025","352.00","352.00","352.00","352.00","","0.43%"
"08/11/2025","350.50","350.50","350.50","350.50","0.01K","-0.14%"
"08/08/2025","351.00","350.00","351.00","350.00","0.06K","0.29%"
"08/07/2025","350.00","350.00","350.00","350.00","0.05K","-0.28%"
"08/06/2025","351.00","351.00","351.00","351.00","","0.14%"
"08/05/2025","350.50","349.50","350.50","349.50","0.00K","0.00%"
"08/04/2025","350.50","350.50","351.50","350.50","0.01K","0.72%"
"08/01/2025","348.00","348.00","348.00","348.00","0.42K","-0.57%"
"07/31/2025","350.00","348.50","350.00","348.50","0.42K","1.30%"
"07/30/2025","345.50","345.50","345.50","345.50","0.20K","0.44%"
"07/29/2025","344.00","344.00","344.00","344.00","0.20K","-0.58%"
"07/28/2025","346.00","346.00","346.00","346.00","0.05K","0.14%"
"07/25/2025","345.50","345.50","345.50","345.50","0.05K","0.14%"
"07/24/2025","345.00","345.00","345.00","345.00","0.05K","-0.29%"
"07/23/2025","346.00","346.00","346.00","346.00","0.01K","-0.29%"
"07/22/2025","347.00","348.00","348.00","347.00","0.01K","0.14%"
"07/21/2025","346.50","346.50","346.50","346.50","0.00K","-0.14%"
"07/18/2025","347.00","347.00","347.00","347.00","0.00K","0.00%"
"07/17/2025","347.00","347.00","347.00","347.00","0.01K","0.43%"
"07/16/2025","345.50","345.50","345.50","345.50","","0.00%"
"07/15/2025","345.50","345.50","345.50","345.50","","-0.14%"
"07/14/2025","346.00","346.00","346.00","346.00","","0.44%"
"07/11/2025","344.50","345.00","345.00","344.50","0.01K","-0.43%"
"07/10/2025","346.00","346.00","346.00","346.00","0.02K","0.00%"
"07/09/2025","346.00","346.00","346.00","346.00","0.02K","0.14%"
"07/08/2025","345.50","345.50","345.50","345.50","0.02K","-0.14%"
"07/07/2025","346.00","346.00","346.00","346.00","0.19K","0.14%"
"07/04/2025","345.50","345.50","345.50","345.50","0.02K","-0.43%"
"07/03/2025","347.00","348.50","348.50","347.00","0.03K","0.00%"
"07/02/2025","347.00","348.00","348.00","347.00","0.18K","0.29%"
"07/01/2025","346.00","346.50","348.00","346.00","0.01K","-0.72%"
"06/30/2025","348.50","348.00","350.00","347.50","0.45K","1.90%"
"06/27/2025","342.00","342.00","342.00","342.00","0.00K","0.00%"
"06/26/2025","342.00","342.00","342.00","342.00","0.00K","0.44%"
"06/25/2025","340.50","340.50","340.50","340.50","0.00K","-0.73%"
"06/24/2025","343.00","343.00","343.00","343.00","0.01K","0.44%"
"06/23/2025","341.50","341.50","341.50","341.50","0.01K","-0.15%"
"06/20/2025","342.00","342.00","342.00","342.00","0.01K","0.00%"
