Country Code,Year,Size,Value,Unit,Main Activity Sector Name,Main Activity Code,Country,ETS information,Active Installation,Entities
All Countries,2005.0,All sizes,450252.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,All Countries,2. Verified emissions,all entities,12.0
All Countries,2005.0,All sizes,16732033.0,units,22  Production of coke,22,All Countries,1. Total allocated allowances (EUA or EUAA),all entities,25.0
All Countries,2005.0,All sizes,159842679.0,units,24  Production of pig iron or steel,24,All Countries,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,212.0
All Countries,2006.0,All sizes,415302.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,All Countries,2.1 EU-ETS Verified Emission,all entities,12.0
All Countries,2006.0,All sizes,7182027.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,All Countries,2. Verified emissions,all entities,8.0
All Countries,2005.0,All sizes,461761.0,units,28 Production or processing of non-ferrous metals,28,All Countries,1. Total allocated allowances (EUA or EUAA),all entities,12.0
All Countries,2005.0,All sizes,13541402.0,units,25 Production or processing of ferrous metals,25,All Countries,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,66.0
All Countries,2005.0,All sizes,16732033.0,units,22  Production of coke,22,All Countries,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,25.0
All Countries,2006.0,All sizes,425470.0,units,28 Production or processing of non-ferrous metals,28,All Countries,4. Total surrendered units,all entities,12.0
All Countries,2005.0,All sizes,450252.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,All Countries,2.1 EU-ETS Verified Emission,all entities,12.0
All Countries,2005.0,All sizes,5936225.0,units,23 Metal ore roasting or sintering,23,All Countries,4. Total surrendered units,all entities,8.0
All Countries,2005.0,All sizes,13345258.0,tonne of CO2 equ.,22  Production of coke,22,All Countries,2. Verified emissions,all entities,25.0
All Countries,2005.0,All sizes,13682446.0,units,23 Metal ore roasting or sintering,23,All Countries,1.1 Freely allocated allowances,all entities,8.0
All Countries,2005.0,All sizes,16732033.0,units,22  Production of coke,22,All Countries,1.1 Freely allocated allowances,all entities,25.0
All Countries,2006.0,All sizes,478280.0,units,28 Production or processing of non-ferrous metals,28,All Countries,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,12.0
All Countries,2006.0,All sizes,13563991.0,units,25 Production or processing of ferrous metals,25,All Countries,1. Total allocated allowances (EUA or EUAA),all entities,66.0
All Countries,2006.0,All sizes,13754251.0,units,23 Metal ore roasting or sintering,23,All Countries,1.1 Freely allocated allowances,all entities,8.0
All Countries,2005.0,All sizes,461761.0,units,28 Production or processing of non-ferrous metals,28,All Countries,1.1.1 Free allocation to existing entities (Art. 10a(1)),all entities,12.0
All Countries,2005.0,All sizes,5936225.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,All Countries,2.1 EU-ETS Verified Emission,all entities,8.0
All Countries,2005.0,All sizes,11141772.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,All Countries,2.1 EU-ETS Verified Emission,all entities,66.0
All Countries,2005.0,All sizes,13682446.0,units,23 Metal ore roasting or sintering,23,All Countries,1. Total allocated allowances (EUA or EUAA),all entities,8.0
All Countries,2005.0,All sizes,133285205.0,tonne of CO2 equ.,24  Production of pig iron or steel,24,All Countries,2. Verified emissions,all entities,212.0
All Countries,2005.0,All sizes,159842679.0,units,24  Production of pig iron or steel,24,All Countries,1. Total allocated allowances (EUA or EUAA),all entities,212.0
All Countries,2006.0,All sizes,415302.0,tonne of CO2 equ.,28 Production or processing of non-ferrous metals,28,All Countries,2. Verified emissions,all entities,12.0
All Countries,2006.0,All sizes,478280.0,units,28 Production or processing of non-ferrous metals,28,All Countries,1.1 Freely allocated allowances,all entities,12.0
All Countries,2006.0,All sizes,6927757.0,units,23 Metal ore roasting or sintering,23,All Countries,4. Total surrendered units,all entities,8.0
All Countries,2006.0,All sizes,7182027.0,tonne of CO2 equ.,23 Metal ore roasting or sintering,23,All Countries,2.1 EU-ETS Verified Emission,all entities,8.0
All Countries,2006.0,All sizes,10197630.0,tonne of CO2 equ.,25 Production or processing of ferrous metals,25,All Countries,2.1 EU-ETS Verified Emission,all entities,66.0
All Countries,2006.0,All sizes,11970448.0,units,25 Production or processing of ferrous metals,25,All Countries,4. Total surrendered units,all entities,66.0
