"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2025","461.50","461.50","461.50","461.50","","0.00%"
"10/28/2025","461.50","462.50","462.50","461.50","0.00K","-0.22%"
"10/27/2025","462.50","462.50","462.50","462.50","","0.54%"
"10/24/2025","460.00","460.00","460.00","460.00","","-0.11%"
"10/23/2025","460.50","461.00","461.00","460.50","0.03K","-0.11%"
"10/22/2025","461.00","461.00","461.00","461.00","0.00K","0.22%"
"10/21/2025","460.00","460.00","460.00","460.00","","0.22%"
"10/20/2025","459.00","459.00","459.00","459.00","0.01K","-0.65%"
"10/17/2025","462.00","460.00","463.50","460.00","0.01K","0.43%"
"10/16/2025","460.00","459.00","460.00","459.00","0.01K","1.32%"
"10/15/2025","454.00","458.50","458.50","454.00","0.01K","-1.41%"
"10/14/2025","460.50","460.50","460.50","460.50","0.01K","-1.81%"
"10/13/2025","469.00","469.00","469.00","469.00","0.01K","-0.32%"
"10/10/2025","470.50","470.50","470.50","470.50","0.01K","0.43%"
"10/09/2025","468.50","468.50","468.50","468.50","0.01K","-0.53%"
"10/08/2025","471.00","471.00","471.00","471.00","0.01K","0.32%"
"10/07/2025","469.50","469.50","469.50","469.50","0.01K","-0.32%"
"10/06/2025","471.00","471.00","471.00","471.00","0.01K","0.00%"
"10/03/2025","471.00","471.00","471.00","471.00","0.01K","0.43%"
"10/02/2025","469.00","469.00","469.00","469.00","0.01K","-0.42%"
"10/01/2025","471.00","471.00","471.00","471.00","0.01K","-0.32%"
"09/30/2025","472.50","472.50","472.50","472.50","0.01K","-0.32%"
"09/29/2025","474.00","474.00","474.00","474.00","0.00K","0.11%"
"09/26/2025","473.50","473.50","473.50","473.50","0.00K","-0.84%"
"09/25/2025","477.50","477.50","477.50","477.50","0.00K","0.21%"
"09/24/2025","476.50","476.50","476.50","476.50","0.00K","0.63%"
"09/23/2025","473.50","473.50","473.50","473.50","0.00K","-0.94%"
"09/22/2025","478.00","478.00","478.00","478.00","0.00K","0.53%"
"09/19/2025","475.50","475.50","475.50","475.50","0.00K","0.00%"
"09/18/2025","475.50","475.50","475.50","475.50","0.00K","-0.31%"
"09/17/2025","477.00","477.00","477.00","477.00","0.00K","0.00%"
"09/16/2025","477.00","477.00","477.00","477.00","","0.32%"
"09/15/2025","475.50","475.50","475.50","475.50","0.00K","0.63%"
"09/12/2025","472.50","472.50","472.50","472.50","0.01K","0.00%"
"09/11/2025","472.50","472.50","472.50","472.50","0.01K","0.53%"
"09/10/2025","470.00","470.00","470.00","470.00","0.01K","-1.05%"
"09/09/2025","475.00","475.00","475.00","475.00","0.01K","0.00%"
"09/08/2025","475.00","475.00","475.00","475.00","0.01K","0.85%"
"09/05/2025","471.00","471.00","471.00","471.00","0.01K","0.00%"
"09/04/2025","471.00","471.00","471.00","471.00","0.01K","0.21%"
"09/03/2025","470.00","470.00","470.00","470.00","0.01K","0.00%"
"09/02/2025","470.00","470.00","470.00","470.00","0.01K","0.00%"
"09/01/2025","470.00","470.00","470.00","470.00","0.01K","-0.63%"
"08/29/2025","473.00","473.00","473.00","473.00","0.04K","-1.36%"
"08/28/2025","479.50","479.50","479.50","479.50","0.00K","1.37%"
"08/27/2025","473.00","473.00","473.00","473.00","0.00K","0.00%"
"08/26/2025","473.00","473.00","473.00","473.00","0.00K","-0.11%"
"08/22/2025","473.50","473.50","473.50","473.50","0.00K","0.53%"
"08/21/2025","471.00","471.00","471.00","471.00","","0.21%"
"08/20/2025","470.00","470.00","470.00","470.00","","0.43%"
"08/19/2025","468.00","468.00","468.00","468.00","","-0.95%"
"08/18/2025","472.50","472.50","472.50","472.50","0.00K","-0.11%"
"08/15/2025","473.00","473.00","473.00","473.00","0.00K","-0.21%"
"08/14/2025","474.00","474.00","474.00","474.00","0.00K","-0.42%"
"08/13/2025","476.00","476.00","476.00","476.00","","-0.73%"
"08/12/2025","479.50","479.50","479.50","479.50","","0.95%"
"08/11/2025","475.00","475.00","475.00","475.00","","0.00%"
"08/08/2025","475.00","475.00","475.00","475.00","0.00K","-0.21%"
"08/07/2025","476.00","476.00","476.00","476.00","0.00K","-0.21%"
"08/06/2025","477.00","477.00","477.00","477.00","0.00K","-0.63%"
"08/05/2025","480.00","480.00","480.00","480.00","0.23K","0.63%"
"08/04/2025","477.00","477.00","477.00","477.00","0.01K","1.81%"
"08/01/2025","468.50","468.50","468.50","468.50","0.02K","-1.68%"
"07/31/2025","476.50","478.50","478.50","476.50","0.02K","4.38%"
"07/30/2025","456.50","456.50","456.50","456.50","0.03K","0.22%"
"07/29/2025","455.50","456.50","456.50","455.50","0.02K","-0.11%"
"07/28/2025","456.00","456.00","456.00","456.00","0.01K","-0.87%"
"07/25/2025","460.00","460.00","460.00","460.00","0.00K","0.66%"
"07/24/2025","457.00","457.00","457.00","457.00","0.03K","-0.11%"
"07/23/2025","457.50","457.50","457.50","457.50","0.03K","-0.11%"
"07/22/2025","458.00","460.00","460.00","458.00","0.03K","1.33%"
"07/21/2025","452.00","450.00","453.00","450.00","0.05K","0.67%"
"07/18/2025","449.00","449.50","449.50","449.00","0.01K","-0.22%"
"07/17/2025","450.00","450.00","450.00","450.00","0.01K","1.01%"
"07/16/2025","445.50","445.50","445.50","445.50","","0.11%"
"07/15/2025","445.00","445.00","445.00","445.00","0.01K","-0.78%"
"07/14/2025","448.50","448.50","448.50","448.50","0.01K","0.00%"
"07/11/2025","448.50","448.50","448.50","448.50","0.01K","-0.22%"
"07/10/2025","449.50","446.00","450.00","446.00","0.01K","0.11%"
"07/09/2025","449.00","449.00","449.00","449.00","","0.22%"
"07/08/2025","448.00","448.00","448.00","448.00","0.01K","0.45%"
"07/07/2025","446.00","446.00","446.00","446.00","0.01K","0.00%"
"07/04/2025","446.00","446.00","446.00","446.00","0.01K","-0.34%"
"07/03/2025","447.50","447.50","450.00","447.50","0.01K","-1.54%"
"07/02/2025","454.50","454.50","454.50","454.50","0.08K","2.48%"
"07/01/2025","443.50","443.50","443.50","443.50","0.08K","0.00%"
"06/30/2025","443.50","443.00","444.50","443.00","0.05K","-0.11%"
"06/27/2025","444.00","444.00","444.00","444.00","0.05K","-0.34%"
"06/26/2025","445.50","445.50","445.50","445.50","0.01K","0.00%"
"06/25/2025","445.50","445.50","445.50","445.50","0.01K","0.00%"
"06/24/2025","445.50","445.50","445.50","445.50","0.01K","0.11%"
"06/23/2025","445.00","445.00","445.00","445.00","0.01K","0.00%"
"06/20/2025","445.00","445.00","445.00","445.00","","1.37%"
"06/19/2025","439.00","439.00","439.00","439.00","","-0.45%"
"06/18/2025","441.00","441.00","441.00","441.00","","-0.34%"
"06/17/2025","442.50","442.50","442.50","442.50","","-0.34%"
"06/16/2025","444.00","444.00","444.00","444.00","0.01K","0.45%"
"06/13/2025","442.00","442.00","442.00","442.00","0.01K","0.11%"
"06/12/2025","441.50","441.50","441.50","441.50","0.01K","-0.79%"
"06/11/2025","445.00","445.00","445.00","445.00","0.01K","0.00%"
"06/10/2025","445.00","445.00","445.00","445.00","0.01K","-0.11%"
"06/09/2025","445.50","445.50","445.50","445.50","0.01K","-0.11%"
"06/06/2025","446.00","446.00","446.00","446.00","0.01K","0.68%"
"06/05/2025","443.00","443.00","443.00","443.00","0.01K","-0.45%"
"06/04/2025","445.00","449.50","449.50","445.00","0.01K","0.11%"
"06/03/2025","444.50","439.00","444.50","439.00","0.01K","0.34%"
"06/02/2025","443.00","443.00","443.00","443.00","","-0.78%"
"05/30/2025","446.50","446.50","446.50","446.50","","-1.43%"
"05/29/2025","453.00","453.00","453.00","453.00","0.01K","0.22%"
"05/28/2025","452.00","452.00","452.00","452.00","0.01K","-0.22%"
"05/27/2025","453.00","453.00","453.00","453.00","0.01K","0.00%"
"05/23/2025","453.00","453.00","453.00","453.00","0.01K","0.00%"
"05/22/2025","453.00","449.00","453.00","449.00","0.01K","-0.11%"
"05/21/2025","453.50","453.50","453.50","453.50","0.00K","-0.11%"
"05/20/2025","454.00","454.00","454.00","454.00","0.00K","0.00%"
"05/19/2025","454.00","454.00","454.00","454.00","0.00K","-0.55%"
"05/16/2025","456.50","456.50","456.50","456.50","0.00K","-1.62%"
"05/15/2025","464.00","462.00","464.00","462.00","0.00K","-0.43%"
"05/14/2025","466.00","461.50","466.00","461.50","0.05K","1.30%"
"05/13/2025","460.00","460.00","460.00","460.00","0.01K","1.32%"
"05/12/2025","454.00","454.00","454.00","454.00","0.00K","0.44%"
"05/09/2025","452.00","452.00","452.00","452.00","","-0.22%"
"05/08/2025","453.00","451.00","453.00","451.00","0.01K","-1.20%"
"05/07/2025","458.50","458.50","458.50","458.50","0.00K","0.33%"
"05/06/2025","457.00","457.00","457.00","457.00","0.00K","0.44%"
"05/02/2025","455.00","455.00","455.00","455.00","0.00K","0.44%"
"05/01/2025","453.00","453.00","453.00","453.00","0.00K","0.00%"
"04/30/2025","453.00","453.00","453.00","453.00","0.00K","-1.52%"
"04/29/2025","460.00","460.00","460.00","460.00","","-0.65%"
"04/28/2025","463.00","463.00","463.00","463.00","0.05K","0.65%"
"04/25/2025","460.00","460.00","460.00","460.00","0.05K","0.33%"
"04/24/2025","458.50","458.50","458.50","458.50","0.05K","-0.43%"
"04/23/2025","460.50","460.50","460.50","460.50","0.05K","0.77%"
"04/22/2025","457.00","457.00","457.00","457.00","0.05K","-1.40%"
"04/17/2025","463.50","463.50","463.50","463.50","0.05K","0.00%"
"04/16/2025","463.50","463.50","463.50","463.50","0.05K","0.76%"
"04/15/2025","460.00","460.00","460.00","460.00","0.05K","-0.76%"
"04/14/2025","463.50","463.50","463.50","463.50","0.01K","-0.75%"
"04/11/2025","467.00","467.00","467.00","467.00","0.01K","-0.32%"
"04/10/2025","468.50","468.50","468.50","468.50","0.01K","1.08%"
"04/09/2025","463.50","463.50","463.50","463.50","0.01K","0.00%"
"04/08/2025","463.50","463.50","463.50","463.50","0.01K","-0.32%"
"04/07/2025","465.00","465.00","465.00","465.00","0.01K","0.00%"
"04/04/2025","465.00","465.00","465.00","465.00","0.01K","-0.11%"
"04/03/2025","465.50","463.50","465.50","460.00","0.02K","0.00%"
"04/02/2025","465.50","461.00","465.50","461.00","0.31K","0.98%"
"04/01/2025","461.00","461.00","461.00","461.00","0.00K","0.33%"
"03/31/2025","459.50","461.00","461.00","457.00","0.02K","0.00%"
"03/28/2025","459.50","459.50","459.50","459.50","","-0.54%"
"03/27/2025","462.00","462.00","462.00","462.00","","0.00%"
"03/26/2025","462.00","462.00","462.00","462.00","","0.00%"
"03/25/2025","462.00","462.00","462.00","462.00","","0.00%"
"03/24/2025","462.00","462.00","462.00","462.00","","0.00%"
"03/21/2025","462.00","462.00","462.00","462.00","","-1.18%"
"03/20/2025","467.50","467.50","467.50","467.50","","1.08%"
"03/19/2025","462.50","462.50","462.50","462.50","","0.11%"
"03/18/2025","462.00","462.00","462.00","462.00","0.00K","-0.32%"
"03/17/2025","463.50","463.50","463.50","463.50","","-1.70%"
"03/14/2025","471.50","471.50","471.50","471.50","","1.73%"
"03/13/2025","463.50","463.50","463.50","463.50","0.01K","0.22%"
"03/12/2025","462.50","465.00","465.00","462.50","0.01K","0.65%"
"03/11/2025","459.50","459.50","459.50","459.50","0.00K","-0.97%"
"03/10/2025","464.00","464.00","464.00","464.00","0.00K","-0.75%"
"03/07/2025","467.50","467.50","467.50","467.50","","-0.43%"
"03/06/2025","469.50","469.50","469.50","469.50","","0.43%"
"03/05/2025","467.50","467.50","467.50","467.50","","0.00%"
"03/04/2025","467.50","467.50","467.50","467.50","","0.00%"
"03/03/2025","467.50","467.50","467.50","467.50","","0.21%"
"02/28/2025","466.50","466.50","466.50","466.50","0.90K","0.86%"
"02/27/2025","462.50","462.50","462.50","462.50","","-0.11%"
"02/26/2025","463.00","463.00","463.00","463.00","","0.11%"
"02/25/2025","462.50","462.50","462.50","462.50","","-0.86%"
"02/24/2025","466.50","466.50","466.50","466.50","","-0.21%"
"02/21/2025","467.50","467.50","467.50","467.50","","0.11%"
"02/20/2025","467.00","467.00","467.00","467.00","","0.21%"
"02/19/2025","466.00","466.00","466.00","466.00","","0.22%"
"02/18/2025","465.00","465.00","465.00","465.00","","1.42%"
"02/17/2025","458.50","458.50","458.50","458.50","","-0.54%"
"02/14/2025","461.00","461.00","461.00","461.00","","-0.11%"
"02/13/2025","461.50","461.50","461.50","461.50","","-0.65%"
"02/12/2025","464.50","464.50","464.50","464.50","","0.43%"
"02/11/2025","462.50","462.50","462.50","462.50","","-0.75%"
"02/10/2025","466.00","466.00","466.00","466.00","","0.32%"
"02/07/2025","464.50","464.50","464.50","464.50","","-0.96%"
"02/06/2025","469.00","469.00","469.00","469.00","","0.11%"
"02/05/2025","468.50","468.50","468.50","468.50","","-2.29%"
"02/04/2025","479.50","479.50","479.50","479.50","","0.10%"
"02/03/2025","479.00","479.00","479.00","479.00","","-0.42%"
"01/31/2025","481.00","481.00","481.00","481.00","","3.89%"
"01/30/2025","463.00","463.00","463.00","463.00","","-0.43%"
"01/29/2025","465.00","465.00","465.00","465.00","","0.00%"
"01/28/2025","465.00","465.00","465.00","465.00","","0.00%"
"01/27/2025","465.00","465.00","465.00","465.00","","-0.32%"
"01/24/2025","466.50","466.50","466.50","466.50","","0.86%"
"01/23/2025","462.50","462.50","462.50","462.50","0.01K","-0.54%"
"01/22/2025","465.00","465.00","465.00","465.00","0.01K","-1.48%"
"01/21/2025","472.00","472.00","472.00","472.00","","0.32%"
"01/20/2025","470.50","470.50","470.50","470.50","","0.00%"
"01/17/2025","470.50","470.50","470.50","470.50","","0.75%"
